symbol,side,entry_time,entry_price,exit_time,exit_price,lots,profit,exit_reason
EURUSD,long,6/13/2025 3:00,1.16079,6/13/2025 3:00,1.16094,0.1,1.5,
EURUSD,long,6/20/2025 17:00,1.15177,6/23/2025 0:00,1.15192,0.1,1.5,
EURUSD,short,6/23/2025 4:00,1.14888,6/23/2025 9:00,1.15188,0.1,-30,
EURUSD,long,6/23/2025 21:00,1.15688,7/7/2025 12:00,1.17238,0.07,108.5,opposite_ma_cross
EURUSD,long,7/21/2025 3:00,1.16291,7/21/2025 4:00,1.16185,0.1,-10.6,opposite_ma_cross
EURUSD,long,7/21/2025 10:00,1.16411,7/28/2025 12:00,1.16785,0.07,26.18,opposite_ma_cross
EURUSD,long,8/4/2025 2:00,1.15841,8/4/2025 4:00,1.15541,0.1,-30,
EURUSD,short,8/11/2025 23:00,1.16043,8/12/2025 15:00,1.16028,0.1,1.5,
EURUSD,long,8/12/2025 20:00,1.16793,8/14/2025 10:00,1.16808,0.1,1.5,
EURUSD,short,8/15/2025 2:00,1.16494,8/15/2025 10:00,1.16479,0.1,1.5,
EURUSD,long,8/15/2025 13:00,1.16871,8/18/2025 19:00,1.16571,0.1,-30,
EURUSD,short,8/19/2025 0:00,1.1659,8/19/2025 13:00,1.1689,0.1,-30,
EURUSD,long,8/22/2025 22:00,1.17209,8/25/2025 12:00,1.16909,0.1,-30,
EURUSD,short,8/26/2025 5:00,1.16413,8/27/2025 19:00,1.16398,0.07,1.05,
EURUSD,long,8/28/2025 15:00,1.16662,9/2/2025 10:00,1.16677,0.07,1.05,
EURUSD,short,9/2/2025 16:00,1.16167,9/2/2025 16:00,1.16152,0.1,1.5,
EURUSD,long,9/5/2025 11:00,1.1678,9/10/2025 13:00,1.17132,0.07,24.64,opposite_ma_cross
EURUSD,long,9/11/2025 23:00,1.1736,9/12/2025 15:00,1.1706,0.1,-30,
EURUSD,short,9/19/2025 1:00,1.17869,9/22/2025 13:00,1.17854,0.07,1.05,
EURUSD,long,9/23/2025 4:00,1.1806,9/24/2025 11:00,1.18075,0.1,1.5,
EURUSD,short,9/24/2025 16:00,1.17429,9/25/2025 15:00,1.17414,0.1,1.5,
EURUSD,long,9/30/2025 0:00,1.17238,9/30/2025 16:00,1.17253,0.1,1.5,
EURUSD,short,10/2/2025 21:00,1.17132,10/3/2025 11:00,1.17432,0.1,-30,
EURUSD,long,10/3/2025 19:00,1.17464,10/6/2025 0:00,1.17164,0.1,-30,
EURUSD,short,10/6/2025 3:00,1.17122,10/6/2025 10:00,1.17107,0.1,1.5,
